Alta Clinica Codigo Amb;Alta Clinica Nome Amb;Setor - Centro de Custo;Tp Categoria Vl Custo;Tp Categoria Vl Custo (copy);Vl Categoria Vl Custo;Vl Faturado Amb;Cd Cen Cus;Cd Setor;Cd Setor Grupo;Dt Competencia;Nm Nivel2 Setor;Nm Nivel3 Setor;Nm Nivel4 Setor;Nm Setor;Nm Setor Grupo;Qt Pessoal Medico Rateio;Qt Pessoal Naomedico Rateio
;;3907 - DIR EXECUTIVA;MAT CONSUMO GERAL;vl_mat_consumo_geral_total;947;;05.40.01.02.00;3907;6812;01/02/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;2;10
;;3907 - DIR EXECUTIVA;MAT MED USO NO PACIENTE;vl_matmed_paciente_total;0;;05.40.01.02.00;3907;6812;01/02/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;2;10
;;3907 - DIR EXECUTIVA;NAO OPERACIONAIS;vl_nao_operacionais_total;918;;05.40.01.02.00;3907;6812;01/02/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;2;10
;;3907 - DIR EXECUTIVA;PESSOAL MEDICO;vl_pessoal_medico_total;32876;;05.40.01.02.00;3907;6812;01/02/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;2;10
;;3907 - DIR EXECUTIVA;PESSOAL NAO MEDICO;vl_pessoal_nmedico_total;77506;;05.40.01.02.00;3907;6812;01/02/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;2;10
;;3907 - DIR EXECUTIVA;PRESTACAO SERVICOS;vl_prestacao_servico_total;558;;05.40.01.02.00;3907;6812;01/02/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;2;10
;;3907 - DIR EXECUTIVA;RATEIO ABSORVIDO;vl_absorvido_total;16480.7232;;05.40.01.02.00;3907;6812;01/03/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;2;9
;;3907 - DIR EXECUTIVA;GERAIS;vl_gerais_total;1106;;05.40.01.02.00;3907;6812;01/03/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;2;9
;;3907 - DIR EXECUTIVA;MAT CONSUMO GERAL;vl_mat_consumo_geral_total;1332;;05.40.01.02.00;3907;6812;01/03/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;2;9
;;3907 - DIR EXECUTIVA;MAT MED USO NO PACIENTE;vl_matmed_paciente_total;0;;05.40.01.02.00;3907;6812;01/03/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;2;9
;;3907 - DIR EXECUTIVA;NAO OPERACIONAIS;vl_nao_operacionais_total;0;;05.40.01.02.00;3907;6812;01/03/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;2;9
;;3907 - DIR EXECUTIVA;PESSOAL MEDICO;vl_pessoal_medico_total;32860;;05.40.01.02.00;3907;6812;01/03/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;2;9
;;3907 - DIR EXECUTIVA;PESSOAL NAO MEDICO;vl_pessoal_nmedico_total;77453;;05.40.01.02.00;3907;6812;01/03/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;2;9
;;3907 - DIR EXECUTIVA;PRESTACAO SERVICOS;vl_prestacao_servico_total;463;;05.40.01.02.00;3907;6812;01/03/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;2;9
;;3907 - DIR EXECUTIVA;RATEIO ABSORVIDO;vl_absorvido_total;17191.1948;;05.40.01.02.00;3907;6812;01/04/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;1;9
;;3907 - DIR EXECUTIVA;GERAIS;vl_gerais_total;1159;;05.40.01.02.00;3907;6812;01/04/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;1;9
;;3907 - DIR EXECUTIVA;MAT CONSUMO GERAL;vl_mat_consumo_geral_total;766;;05.40.01.02.00;3907;6812;01/04/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;1;9
;;3907 - DIR EXECUTIVA;MAT MED USO NO PACIENTE;vl_matmed_paciente_total;0;;05.40.01.02.00;3907;6812;01/04/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;1;9
;;3907 - DIR EXECUTIVA;NAO OPERACIONAIS;vl_nao_operacionais_total;0;;05.40.01.02.00;3907;6812;01/04/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;1;9
;;3907 - DIR EXECUTIVA;PESSOAL MEDICO;vl_pessoal_medico_total;0;;05.40.01.02.00;3907;6812;01/04/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;1;9
;;3907 - DIR EXECUTIVA;PESSOAL NAO MEDICO;vl_pessoal_nmedico_total;112352;;05.40.01.02.00;3907;6812;01/04/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;1;9
;;3907 - DIR EXECUTIVA;PRESTACAO SERVICOS;vl_prestacao_servico_total;349;;05.40.01.02.00;3907;6812;01/04/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;1;9
;;3907 - DIR EXECUTIVA;RATEIO ABSORVIDO;vl_absorvido_total;16739.1446;;05.40.01.02.00;3907;6812;01/05/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;1;10
;;3907 - DIR EXECUTIVA;GERAIS;vl_gerais_total;2643;;05.40.01.02.00;3907;6812;01/05/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;1;10
;;3907 - DIR EXECUTIVA;MAT CONSUMO GERAL;vl_mat_consumo_geral_total;1340;;05.40.01.02.00;3907;6812;01/05/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;1;10
;;3907 - DIR EXECUTIVA;MAT MED USO NO PACIENTE;vl_matmed_paciente_total;0;;05.40.01.02.00;3907;6812;01/05/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;1;10
;;3907 - DIR EXECUTIVA;NAO OPERACIONAIS;vl_nao_operacionais_total;0;;05.40.01.02.00;3907;6812;01/05/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;1;10
;;3907 - DIR EXECUTIVA;PESSOAL MEDICO;vl_pessoal_medico_total;0;;05.40.01.02.00;3907;6812;01/05/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;1;10
;;3907 - DIR EXECUTIVA;PESSOAL NAO MEDICO;vl_pessoal_nmedico_total;116446;;05.40.01.02.00;3907;6812;01/05/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;1;10
;;3907 - DIR EXECUTIVA;PRESTACAO SERVICOS;vl_prestacao_servico_total;4164;;05.40.01.02.00;3907;6812;01/05/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;1;10
;;3907 - DIR EXECUTIVA;RATEIO ABSORVIDO;vl_absorvido_total;12650.6632;;05.40.01.02.00;3907;6812;01/06/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;1;7
;;3907 - DIR EXECUTIVA;GERAIS;vl_gerais_total;1144;;05.40.01.02.00;3907;6812;01/06/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;1;7
;;3907 - DIR EXECUTIVA;MAT CONSUMO GERAL;vl_mat_consumo_geral_total;793;;05.40.01.02.00;3907;6812;01/06/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;1;7
;;3907 - DIR EXECUTIVA;MAT MED USO NO PACIENTE;vl_matmed_paciente_total;0;;05.40.01.02.00;3907;6812;01/06/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;1;7
;;3907 - DIR EXECUTIVA;NAO OPERACIONAIS;vl_nao_operacionais_total;116;;05.40.01.02.00;3907;6812;01/06/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;1;7
;;3907 - DIR EXECUTIVA;PESSOAL MEDICO;vl_pessoal_medico_total;0;;05.40.01.02.00;3907;6812;01/06/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;1;7
;;3907 - DIR EXECUTIVA;PESSOAL NAO MEDICO;vl_pessoal_nmedico_total;62989;;05.40.01.02.00;3907;6812;01/06/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;1;7
;;3907 - DIR EXECUTIVA;PRESTACAO SERVICOS;vl_prestacao_servico_total;216;;05.40.01.02.00;3907;6812;01/06/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;1;7
;;3907 - DIR EXECUTIVA;RATEIO ABSORVIDO;vl_absorvido_total;16812.2309;;05.40.01.02.00;3907;6812;01/07/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;1;6
;;3907 - DIR EXECUTIVA;GERAIS;vl_gerais_total;945;;05.40.01.02.00;3907;6812;01/07/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;1;6
;;3907 - DIR EXECUTIVA;MAT CONSUMO GERAL;vl_mat_consumo_geral_total;670;;05.40.01.02.00;3907;6812;01/07/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;1;6
;;3907 - DIR EXECUTIVA;MAT MED USO NO PACIENTE;vl_matmed_paciente_total;0;;05.40.01.02.00;3907;6812;01/07/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;1;6
;;3907 - DIR EXECUTIVA;NAO OPERACIONAIS;vl_nao_operacionais_total;0;;05.40.01.02.00;3907;6812;01/07/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;1;6
;;3907 - DIR EXECUTIVA;PESSOAL MEDICO;vl_pessoal_medico_total;0;;05.40.01.02.00;3907;6812;01/07/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;1;6
;;3907 - DIR EXECUTIVA;PESSOAL NAO MEDICO;vl_pessoal_nmedico_total;80386;;05.40.01.02.00;3907;6812;01/07/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;1;6
;;3907 - DIR EXECUTIVA;PRESTACAO SERVICOS;vl_prestacao_servico_total;12984;;05.40.01.02.00;3907;6812;01/07/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;1;6
;;3907 - DIR EXECUTIVA;RATEIO ABSORVIDO;vl_absorvido_total;13244.3217;;05.40.01.02.00;3907;6812;01/08/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;1;6
;;3907 - DIR EXECUTIVA;GERAIS;vl_gerais_total;1134;;05.40.01.02.00;3907;6812;01/08/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;1;6
;;3907 - DIR EXECUTIVA;MAT CONSUMO GERAL;vl_mat_consumo_geral_total;1019;;05.40.01.02.00;3907;6812;01/08/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;1;6
;;3907 - DIR EXECUTIVA;MAT MED USO NO PACIENTE;vl_matmed_paciente_total;0;;05.40.01.02.00;3907;6812;01/08/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;1;6
;;3907 - DIR EXECUTIVA;NAO OPERACIONAIS;vl_nao_operacionais_total;0;;05.40.01.02.00;3907;6812;01/08/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;1;6
;;3907 - DIR EXECUTIVA;PESSOAL MEDICO;vl_pessoal_medico_total;0;;05.40.01.02.00;3907;6812;01/08/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;1;6
;;3907 - DIR EXECUTIVA;PESSOAL NAO MEDICO;vl_pessoal_nmedico_total;80732;;05.40.01.02.00;3907;6812;01/08/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;1;6
;;3907 - DIR EXECUTIVA;PRESTACAO SERVICOS;vl_prestacao_servico_total;12896;;05.40.01.02.00;3907;6812;01/08/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;1;6
;;3907 - DIR EXECUTIVA;RATEIO ABSORVIDO;vl_absorvido_total;0;;05.40.01.02.00;3907;6812;01/09/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;2.44;6
;;3907 - DIR EXECUTIVA;GERAIS;vl_gerais_total;0;;05.40.01.02.00;3907;6812;01/09/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;2.44;6
;;3907 - DIR EXECUTIVA;MAT CONSUMO GERAL;vl_mat_consumo_geral_total;0;;05.40.01.02.00;3907;6812;01/09/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;2.44;6
;;3907 - DIR EXECUTIVA;MAT MED USO NO PACIENTE;vl_matmed_paciente_total;0;;05.40.01.02.00;3907;6812;01/09/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;2.44;6
;;3907 - DIR EXECUTIVA;NAO OPERACIONAIS;vl_nao_operacionais_total;0;;05.40.01.02.00;3907;6812;01/09/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;2.44;6
;;3907 - DIR EXECUTIVA;PESSOAL MEDICO;vl_pessoal_medico_total;0;;05.40.01.02.00;3907;6812;01/09/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;2.44;6
;;3907 - DIR EXECUTIVA;PESSOAL NAO MEDICO;vl_pessoal_nmedico_total;0;;05.40.01.02.00;3907;6812;01/09/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;2.44;6
;;3907 - DIR EXECUTIVA;PRESTACAO SERVICOS;vl_prestacao_servico_total;0;;05.40.01.02.00;3907;6812;01/09/2019;UNIDADES ADMINISTRATIVAS;ADMINISTRATIVO;DIR EXECUTIVA;DIR EXECUTIVA;ADMINISTRATIVO;2.44;6
;;3909 - ECOCARDIOGRAMA 03;RATEIO ABSORVIDO;vl_absorvido_total;30889.7773;;05.21.01.09.00;3909;6780;01/01/2019;SADT;IMAGENS;ECOCARDIOGRAMA 03;ECOCARDIOGRAMA 03;IMAGENS;5.99;2
;;3909 - ECOCARDIOGRAMA 03;GERAIS;vl_gerais_total;1258;;05.21.01.09.00;3909;6780;01/01/2019;SADT;IMAGENS;ECOCARDIOGRAMA 03;ECOCARDIOGRAMA 03;IMAGENS;5.99;2
;;3909 - ECOCARDIOGRAMA 03;MAT CONSUMO GERAL;vl_mat_consumo_geral_total;2474;;05.21.01.09.00;3909;6780;01/01/2019;SADT;IMAGENS;ECOCARDIOGRAMA 03;ECOCARDIOGRAMA 03;IMAGENS;5.99;2
;;3909 - ECOCARDIOGRAMA 03;MAT MED USO NO PACIENTE;vl_matmed_paciente_total;733;;05.21.01.09.00;3909;6780;01/01/2019;SADT;IMAGENS;ECOCARDIOGRAMA 03;ECOCARDIOGRAMA 03;IMAGENS;5.99;2
;;3909 - ECOCARDIOGRAMA 03;NAO OPERACIONAIS;vl_nao_operacionais_total;0;;05.21.01.09.00;3909;6780;01/01/2019;SADT;IMAGENS;ECOCARDIOGRAMA 03;ECOCARDIOGRAMA 03;IMAGENS;5.99;2
;;3909 - ECOCARDIOGRAMA 03;PESSOAL MEDICO;vl_pessoal_medico_total;55082;;05.21.01.09.00;3909;6780;01/01/2019;SADT;IMAGENS;ECOCARDIOGRAMA 03;ECOCARDIOGRAMA 03;IMAGENS;5.99;2
;;3909 - ECOCARDIOGRAMA 03;PESSOAL NAO MEDICO;vl_pessoal_nmedico_total;13027;;05.21.01.09.00;3909;6780;01/01/2019;SADT;IMAGENS;ECOCARDIOGRAMA 03;ECOCARDIOGRAMA 03;IMAGENS;5.99;2
;;3909 - ECOCARDIOGRAMA 03;PRESTACAO SERVICOS;vl_prestacao_servico_total;6314;;05.21.01.09.00;3909;6780;01/01/2019;SADT;IMAGENS;ECOCARDIOGRAMA 03;ECOCARDIOGRAMA 03;IMAGENS;5.99;2
;;3909 - ECOCARDIOGRAMA 03;RATEIO ABSORVIDO;vl_absorvido_total;33611.6282;;05.21.01.09.00;3909;6780;01/02/2019;SADT;IMAGENS;ECOCARDIOGRAMA 03;ECOCARDIOGRAMA 03;IMAGENS;5.99;2
;;3909 - ECOCARDIOGRAMA 03;GERAIS;vl_gerais_total;822;;05.21.01.09.00;3909;6780;01/02/2019;SADT;IMAGENS;ECOCARDIOGRAMA 03;ECOCARDIOGRAMA 03;IMAGENS;5.99;2
;;3909 - ECOCARDIOGRAMA 03;MAT CONSUMO GERAL;vl_mat_consumo_geral_total;2704;;05.21.01.09.00;3909;6780;01/02/2019;SADT;IMAGENS;ECOCARDIOGRAMA 03;ECOCARDIOGRAMA 03;IMAGENS;5.99;2
;;3909 - ECOCARDIOGRAMA 03;MAT MED USO NO PACIENTE;vl_matmed_paciente_total;3282;;05.21.01.09.00;3909;6780;01/02/2019;SADT;IMAGENS;ECOCARDIOGRAMA 03;ECOCARDIOGRAMA 03;IMAGENS;5.99;2
;;3909 - ECOCARDIOGRAMA 03;NAO OPERACIONAIS;vl_nao_operacionais_total;0;;05.21.01.09.00;3909;6780;01/02/2019;SADT;IMAGENS;ECOCARDIOGRAMA 03;ECOCARDIOGRAMA 03;IMAGENS;5.99;2
;;3909 - ECOCARDIOGRAMA 03;PESSOAL MEDICO;vl_pessoal_medico_total;55187;;05.21.01.09.00;3909;6780;01/02/2019;SADT;IMAGENS;ECOCARDIOGRAMA 03;ECOCARDIOGRAMA 03;IMAGENS;5.99;2
;;3909 - ECOCARDIOGRAMA 03;PESSOAL NAO MEDICO;vl_pessoal_nmedico_total;10986;;05.21.01.09.00;3909;6780;01/02/2019;SADT;IMAGENS;ECOCARDIOGRAMA 03;ECOCARDIOGRAMA 03;IMAGENS;5.99;2
;;3909 - ECOCARDIOGRAMA 03;PRESTACAO SERVICOS;vl_prestacao_servico_total;6319;;05.21.01.09.00;3909;6780;01/02/2019;SADT;IMAGENS;ECOCARDIOGRAMA 03;ECOCARDIOGRAMA 03;IMAGENS;5.99;2
;;3909 - ECOCARDIOGRAMA 03;RATEIO ABSORVIDO;vl_absorvido_total;31844.66;;05.21.01.09.00;3909;6780;01/03/2019;SADT;IMAGENS;ECOCARDIOGRAMA 03;ECOCARDIOGRAMA 03;IMAGENS;5.99;2
;;3909 - ECOCARDIOGRAMA 03;GERAIS;vl_gerais_total;875;;05.21.01.09.00;3909;6780;01/03/2019;SADT;IMAGENS;ECOCARDIOGRAMA 03;ECOCARDIOGRAMA 03;IMAGENS;5.99;2
;;3909 - ECOCARDIOGRAMA 03;MAT CONSUMO GERAL;vl_mat_consumo_geral_total;2063;;05.21.01.09.00;3909;6780;01/03/2019;SADT;IMAGENS;ECOCARDIOGRAMA 03;ECOCARDIOGRAMA 03;IMAGENS;5.99;2
;;3909 - ECOCARDIOGRAMA 03;MAT MED USO NO PACIENTE;vl_matmed_paciente_total;844;;05.21.01.09.00;3909;6780;01/03/2019;SADT;IMAGENS;ECOCARDIOGRAMA 03;ECOCARDIOGRAMA 03;IMAGENS;5.99;2
;;3909 - ECOCARDIOGRAMA 03;NAO OPERACIONAIS;vl_nao_operacionais_total;0;;05.21.01.09.00;3909;6780;01/03/2019;SADT;IMAGENS;ECOCARDIOGRAMA 03;ECOCARDIOGRAMA 03;IMAGENS;5.99;2
;;3909 - ECOCARDIOGRAMA 03;PESSOAL MEDICO;vl_pessoal_medico_total;54590;;05.21.01.09.00;3909;6780;01/03/2019;SADT;IMAGENS;ECOCARDIOGRAMA 03;ECOCARDIOGRAMA 03;IMAGENS;5.99;2
;;3909 - ECOCARDIOGRAMA 03;PESSOAL NAO MEDICO;vl_pessoal_nmedico_total;10963;;05.21.01.09.00;3909;6780;01/03/2019;SADT;IMAGENS;ECOCARDIOGRAMA 03;ECOCARDIOGRAMA 03;IMAGENS;5.99;2
;;3909 - ECOCARDIOGRAMA 03;PRESTACAO SERVICOS;vl_prestacao_servico_total;6316;;05.21.01.09.00;3909;6780;01/03/2019;SADT;IMAGENS;ECOCARDIOGRAMA 03;ECOCARDIOGRAMA 03;IMAGENS;5.99;2
;;3909 - ECOCARDIOGRAMA 03;RATEIO ABSORVIDO;vl_absorvido_total;28271.4936;;05.21.01.09.00;3909;6780;01/04/2019;SADT;IMAGENS;ECOCARDIOGRAMA 03;ECOCARDIOGRAMA 03;IMAGENS;5.99;1
